indicatorId,geoUnit,year,value,qualifier,magnitude
EXPGDP.TOT,AUS,2015,1.91969,,
EXPGDP.TOT,AUS,2017,1.88103,,
EXPGDP.TOT,AUS,2019,1.82826,,
EXPGDP.TOT,AUS,2021,1.85783,,
EXPGDP.TOT,FRA,2015,2.22401,,
EXPGDP.TOT,FRA,2016,2.22468,,
EXPGDP.TOT,FRA,2017,2.20422,,
EXPGDP.TOT,FRA,2018,2.20407,,
EXPGDP.TOT,FRA,2019,2.19668,,
EXPGDP.TOT,FRA,2020,2.2742,,
EXPGDP.TOT,FRA,2021,2.21278,,
EXPGDP.TOT,FRA,2022,2.21937,,
EXPGDP.TOT,FRA,2023,2.17832,,
EXPGDP.TOT,USA,2015,2.77328,,
EXPGDP.TOT,USA,2016,2.83676,,
EXPGDP.TOT,USA,2017,2.88315,,
EXPGDP.TOT,USA,2018,2.98956,,
EXPGDP.TOT,USA,2019,3.14297,,
EXPGDP.TOT,USA,2020,3.41788,,
EXPGDP.TOT,USA,2021,3.46891,,
EXPGDP.TOT,USA,2022,3.48736,,
EXPGDP.TOT,USA,2023,3.44716,,
EXPGDP.TOT,VNM,2015,0.35629,,
EXPGDP.TOT,VNM,2017,0.41895,,
EXPGDP.TOT,VNM,2019,0.41652,,
EXPGDP.TOT,VNM,2021,0.42494,,
EXPGDP.TOT,VNM,2023,0.41856,,